Score-ScoreOther,ScoreOther-Score,Number of Records,Score (bin),Emotion,Id Of The Other In The Pair,Id,One Of The Pairs And With Hashtag Flag,One Of The Pairs Flag,Query Hashtag,Score Of The Other,Score,Testflag,Tweet Of The Other In The Pair,Tweet
-0.271,0.271,1,0.40,fear,20199,20722,singleton,1,panic,0.688,0.417,train,I can never find the exact #emoji that I'm after at the exact moment that I need it #panic,I can never find the exact #emoji that I'm after at the exact moment that I need it
-0.145,0.145,1,0.65,fear,20062,20193,singleton,1,panic,0.833,0.688,train,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic,I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul
-0.642,0.642,1,0.30,fear,20002,20889,singleton,1,panic,0.975,0.333,train,I lost my blinders .... #panic,I lost my blinders ....
-0.306,0.306,1,0.40,fear,20157,20714,singleton,1,panic,0.723,0.417,train,It's 5:55am. I'm hungry but there is no food. #panic,It's 5:55am. I'm hungry but there is no food.
-0.375,0.375,1,0.20,fear,20343,21043,singleton,1,panic,0.604,0.229,train,Round 2 #panic #pcola,Round 2  #pcola
-0.25,0.25,1,0.55,fear,20064,20373,singleton,1,panic,0.833,0.583,train,Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo,Saga: When all of your devices and teles fail just in time for bake off  #gbbo
-0.167,0.167,1,0.55,fear,20123,20381,singleton,1,panic,0.75,0.583,train,When you arrive at the office the day before your first ever festival and the Internet is down #panic,When you arrive at the office the day before your first ever festival and the Internet is down
-0.186,0.186,1,0.35,fear,20474,20871,singleton,1,panic,0.54,0.354,train,You don't know what to expect by Brendon's video lmao LA devotee video got me shook #panic,You don't know what to expect by Brendon's video lmao LA devotee video got me shook
-0.188,0.188,1,0.45,fear,20219,20593,singleton,1,restless,0.667,0.479,train,And here we go again 😓 #restless,And here we go again 😓
-0.042,0.042,1,0.20,fear,21000,21044,singleton,1,restless,0.271,0.229,train,"Everywhere I go, the air I breathe in tastes like home.' - @The_Currys #restless","Everywhere I go, the air I breathe in tastes like home.' - @The_Currys"
-0.208,0.208,1,0.50,fear,20135,20465,singleton,1,restless,0.75,0.542,train,Haven't gotten one hour of sleep... Today is going to be a fun day 😐 #restless,Haven't gotten one hour of sleep... Today is going to be a fun day 😐
0,0,1,0.55,fear,20374,20354,singleton,1,restless,0.583,0.583,train,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it #restless,Home is where the heart lies ! Love my little island but my birth city just ain't acting right &amp; im not feeling too good about it
-0.115,0.115,1,0.50,fear,20318,20547,singleton,1,restless,0.615,0.5,train,Late night #thoughts. Feeling #restless.,Late night #thoughts. Feeling .
-0.229,0.229,1,0.15,fear,20724,21086,singleton,1,restless,0.417,0.188,train,My mind always seems to work its best at night #restless,My mind always seems to work its best at night
-0.104,0.104,1,0.35,fear,20616,20870,singleton,1,restless,0.458,0.354,train,One more step in long work #visa process is over. Relief. Onto next step. #expat #restless,One more step in long work #visa process is over. Relief. Onto next step. #expat
-0.25,0.25,1,0.35,fear,20303,20821,singleton,1,restless,0.625,0.375,train,Today has dragged on #restless,Today has dragged on
0.042,-0.042,1,0.65,fear,20290,20239,singleton,1,restless,0.625,0.667,train,"When your body says FUCK YOU BITCH, You ain't sleeping\n#sleep #cantsleep #drained #restless","When your body says FUCK YOU BITCH, You ain't sleeping\n #sleep #cantsleep #drained"
0.093000000,-0.093000000,1,0.55,fear,20607,20403,singleton,1,restless,0.469,0.562,train,Wishing i was rich so i didnt have to get up this morning #poor #sleepy #restless #sad #needsmoresleep,Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep
0,0,1,0.20,fear,21054,21045,singleton,1,revolting,0.229,0.229,train,"Jorge deserves it, honestly. He's weak. #revolting #90dayfiance","Jorge deserves it, honestly. He's weak.  #90dayfiance"
0,0,1,0.10,fear,21128,21132,singleton,1,shake,0.125,0.125,train,When you make a great tasting shake and no words can describe it!😃👌🏻 #shake #herbalifenutrition #tastesogood #nowords,When you make a great tasting shake and no words can describe it!😃👌🏻  #herbalifenutrition #tastesogood #nowords
-0.167,0.167,1,0.25,fear,20687,20988,singleton,1,shocking,0.438,0.271,train,".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you #shocking",".@SimonNRicketts if you don't know what a patronus is, I don't think we should have to tell you"
-0.289,0.289,1,0.15,fear,20650,21098,singleton,1,shocking,0.458,0.169,train,@aidankerrpol I think you should do. Get the fashion police involved. #shocking,@aidankerrpol I think you should do. Get the fashion police involved.
-0.23,0.23,1,0.30,fear,20454,20919,singleton,1,shocking,0.542,0.312,train,@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact #shocking,@AOLUK @JamesHayr @TheDrum Anychance of addressing the communication I sent to you yesterday??? I still haven't had any contact
-0.209,0.209,1,0.30,fear,20480,20933,singleton,1,shocking,0.521,0.312,train,@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider #shocking,@eugenelaverty @WorldSBK all the best Moto GP is loosing a very talented rider
0.042,-0.042,1,0.40,fear,20761,20670,singleton,1,shocking,0.396,0.438,train,"@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any #shocking #sexism","@Policy_Exchange A plus point, she won't have to queue for the loos. Any more plus points? Nope, can't think of any  #sexism"
0.211,-0.211,1,0.75,fear,20435,20112,singleton,1,shocking,0.56,0.771,train,@YahooCare data stolen in 2014 and only now do you tell us #shocking.,@YahooCare data stolen in 2014 and only now do you tell us .
-0.187,0.187,1,0.35,fear,20423,20825,singleton,1,shocking,0.562,0.375,train,@zavvi @zavvihelp only offering 6 moth warranty #ps4pro #shocking #truth #ripoff,@zavvi @zavvihelp only offering 6 moth warranty #ps4pro  #truth #ripoff
-0.021,0.021,1,0.35,fear,20712,20757,singleton,1,shocking,0.417,0.396,train,#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ... #shocking #junk #trash,#goksfillyourhouseforfree should be retitled fill your house with old trash repainted ...  #junk #trash
0.055000000,-0.055000000,1,0.55,fear,20482,20388,singleton,1,shocking,0.521,0.576,train,a vote for #killary is like sticking a knife in a toaster #shocking #MakeAmericaGreatAgain,a vote for #killary is like sticking a knife in a toaster  #MakeAmericaGreatAgain
-0.179,0.179,1,0.45,fear,20281,20633,singleton,1,shocking,0.637,0.458,train,"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is #shocking","Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is"
0.021000000,-0.021000000,1,0.55,fear,20399,20380,singleton,1,shocking,0.562,0.583,train,PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story. #shocking #CharlotteProtest #CharlotteRiot,PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot
-0.264,0.264,1,0.15,fear,20699,21105,singleton,1,shocking,0.431,0.167,train,So is texting a guy 'I'm ready for sex now' considered flirting?' #shocking,So is texting a guy 'I'm ready for sex now' considered flirting?'
-0.13,0.13,1,0.45,fear,20385,20654,singleton,1,shocking,0.583,0.453,train,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered #shocking #badservice,Still waiting to see if my @london2012track will make an appearance next week - two months today it was ordered  #badservice
-0.324,0.324,1,0.30,fear,20271,20916,singleton,1,shocking,0.646,0.322,train,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch #shocking,Unruly kids at 8am in the morning #nothanks ripping the flower beds up by the roots while their parents watch
-0.188,0.188,1,0.35,fear,20452,20843,singleton,1,shocking,0.542,0.354,train,When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?' #shocking,When someone tells you they're going to 'tear you apart' and all they have to say is 'why are you so tall?'
-0.141,0.141,1,0.45,fear,20314,20603,singleton,1,"shocking,dire",0.62,0.479,train,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used!  #appauling  #dismal #beyondajoke #useless
-0.211,0.211,1,0.25,fear,20565,20974,singleton,1,shudder,0.491,0.28,train,@1NatalieMaines Can you imagine being the person who has to spray tan him? #shudder,@1NatalieMaines Can you imagine being the person who has to spray tan him?
-0.395,0.395,1,0.40,fear,20073,20695,singleton,1,shudder,0.833,0.438,train,@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson
-0.131,0.131,1,0.40,fear,20394,20698,singleton,1,shy,0.562,0.431,train,"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, #shy","@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one,"
-0.104,0.104,1,0.50,fear,20294,20522,singleton,1,shy,0.625,0.521,train,@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything #shy,@williamcontrol just preordered The Pale EP... Would have paid for the phone call... But I would have freaked out and not said anything
-0.027,0.027,1,0.60,fear,20240,20280,singleton,1,shy,0.667,0.64,train,I want to slide into the dms but im too fucking shy #shy,I want to slide into the dms but im too fucking shy
-0.25,0.25,1,0.05,fear,20921,21146,singleton,1,shy,0.312,0.062,train,Omg he kissed her🙈 #shy #w,Omg he kissed her🙈  #w
0.062,-0.062,1,0.20,fear,21100,21039,singleton,1,start,0.167,0.229,train,Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle #start #dosomething #success,Action is the foundational key to all success ~Pablo Picasso #inspiring #quote #action #hustle  #dosomething #success
-0.083,0.083,1,0.15,fear,20991,21084,singleton,1,start,0.271,0.188,train,"If you truly want more of God in your life, it requires letting go of some of the old things, to allow new things to flourish. #stop #start","If you truly want more of God in your life, it requires letting go of some of the old things, to allow new things to flourish. #stop"
0.083,-0.083,1,0.35,fear,20964,20813,singleton,1,start,0.292,0.375,train,This maybe a new start but it will always be align with the end. #start #forward,This maybe a new start but it will always be align with the end.  #forward
0,0,1,0.40,fear,20661,20683,singleton,1,terrible,0.438,0.438,train,@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software #terrible,@Avanquest i have unsubscribed 3 times from your spam emails still coming? STOP THE EMAILS #avanquest #software
-0.313,0.313,1,0.35,fear,20241,20838,singleton,1,terrible,0.667,0.354,train,@BartholomewD It's -terrible-! We're going to the local fish/chip place in Kirribilli #terrible,@BartholomewD It's -terrible-! We're going to the local fish/chip place in Kirribilli
-0.104,0.104,1,0.35,fear,20631,20860,singleton,1,terrible,0.458,0.354,train,"@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney","@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay???  #wasteofmoney"
-0.104,0.104,1,0.40,fear,20508,20716,singleton,1,terrible,0.521,0.417,train,@EurekaForbes U got to b kidding me. Anu from your firm responded  when I sent the contact details. #terrible #customerexperience,@EurekaForbes U got to b kidding me. Anu from your firm responded  when I sent the contact details.  #customerexperience
-0.135,0.135,1,0.20,fear,20826,21037,singleton,1,terrible,0.375,0.24,train,@Gibberman10 @ScottHoward42 any of y'all remember when MLB tried a futuristic jersey those were all #terrible,@Gibberman10 @ScottHoward42 any of y'all remember when MLB tried a futuristic jersey those were all
-0.041,0.041,1,0.40,fear,20645,20717,singleton,1,terrible,0.458,0.417,train,@metrotrains why is there no disabled access at pontefract monkhill? #terrible,@metrotrains why is there no disabled access at pontefract monkhill?
0.042,-0.042,1,0.35,fear,20929,20864,singleton,1,terrible,0.312,0.354,train,@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. #terrible,@Mickeyplyler @QualkTalk the refs are in GT's favor tonight.
-0.037,0.037,1,0.30,fear,20829,20883,singleton,1,terrible,0.373,0.336,train,@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool #terrible,@NandosSA just received order from @OrderInSA &amp; the chips are under cooked &amp; half raw!!! Usually best part of the meal #notcool
0.167,-0.167,1,0.45,fear,20930,20592,singleton,1,terrible,0.312,0.479,train,@Rocks_n_Ropes Can't believe how rude your cashier was today when I was returning an item!  Your customer service is slacking. #terrible,@Rocks_n_Ropes Can't believe how rude your cashier was today when I was returning an item!  Your customer service is slacking.
-0.208,0.208,1,0.35,fear,20428,20853,singleton,1,terrible,0.562,0.354,train,@stevie7t Why does talksport sound like it's being broadcasted from someone's basement #terrible #quality #amateurs,@stevie7t Why does talksport sound like it's being broadcasted from someone's basement  #quality #amateurs
-0.084,0.084,1,0.45,fear,20470,20636,singleton,1,terrible,0.542,0.458,train,@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness #terrible,@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness
0,0,1,0.40,fear,20713,20730,singleton,1,terrible,0.417,0.417,train,"$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach #terrible #lgm","$100 says Teufel is 'reassigned' within the organization before next year, but I wish it was sooner... #Mets #thirdbasecoach  #lgm"
0,0,1,0.50,fear,20560,20564,singleton,1,terrible,0.5,0.5,train,"3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys? #terrible #customerservice #2hour #waittime","3 #tmobile #stores, #original #note7 #customer and zero #results... What's going on guys?  #customerservice #2hour #waittime"
-0.079,0.079,1,0.35,fear,20697,20867,singleton,1,terrible,0.433,0.354,train,Can we start a 'get Chris Sutton off our tv campaign? Spread the work #terrible #pundit #noclue,Can we start a 'get Chris Sutton off our tv campaign? Spread the work  #pundit #noclue
-0.25,0.25,1,0.15,fear,20684,21093,singleton,1,terrible,0.438,0.188,train,Hey no turn over after a kick - way to go Texans!  Way to go!  #Texans #terrible #noheart,Hey no turn over after a kick - way to go Texans!  Way to go! #Texans  #noheart
-0.021,0.021,1,0.35,fear,20808,20835,singleton,1,terrible,0.375,0.354,train,How had Matty Dawson not scored there!!!!! #terrible,How had Matty Dawson not scored there!!!!!
0.021,-0.021,1,0.50,fear,20573,20558,singleton,1,terrible,0.479,0.5,train,I hate that a black lady is painting herself white on the internet for laughs and likes... #terrible #BadForm #DidntLaugh,I hate that a black lady is painting herself white on the internet for laughs and likes...  #BadForm #DidntLaugh
-0.018000000,0.018000000,1,0.90,fear,20008,20009,singleton,1,terrible,0.938,0.92,train,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake...
-0.145,0.145,1,0.40,fear,20353,20694,singleton,1,terrible,0.583,0.438,train,not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years #terrible,not only was that the worst @EGX that's I've attended but worth one of the worst cons I've been to in the last 5 years
-0.062,0.062,1,0.25,fear,20851,20963,singleton,1,terrible,0.354,0.292,train,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad #terrible,Oh I get i see it's #TexasTech playing tonight not the #Texans #TNF #texansarebad
-0.063,0.063,1,0.20,fear,21010,21071,singleton,1,terrible,0.271,0.208,train,"ok, ok.. I know.. my last tweet was #terrible","ok, ok.. I know.. my last tweet was"
-0.117,0.117,1,0.25,fear,20723,20944,singleton,1,terrible,0.417,0.3,train,STAY JADED everyone is #terrible,STAY JADED everyone is
-0.12,0.12,1,0.25,fear,20739,20970,singleton,1,terrible,0.412,0.292,train,Watched tna for the first time in a long time what the hell happened to the #hardyboys #impactonpop #wwe #terrible,Watched tna for the first time in a long time what the hell happened to the #hardyboys #impactonpop #wwe
0.104,-0.104,1,0.60,fear,20520,20305,singleton,1,terror,0.521,0.625,train,@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam #terror #polygamy,@CBCNews Canada should be a driving force of democracy freedom rights - instead we help #dictator #misogyny #Sharia #Islam  #polygamy
-0.292,0.292,1,0.35,fear,20227,20814,singleton,1,terror,0.667,0.375,train,"@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT) #terror #TRUMP #FAIL","@CBSThisMorning @newsgirl123456 again, profiling DOESN'T discourage (September 20, 2016; 18:41 EDT)  #TRUMP #FAIL"
0.292,-0.292,1,0.65,fear,20763,20185,singleton,1,terror,0.396,0.688,train,@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg #terror,@dc_mma @ChampionsFight think shes afraid to fight Holly. One can only imagine what goes through her head when she thinks of Cyborg
0.018,-0.018,1,0.40,fear,20705,20693,singleton,1,terror,0.42,0.438,train,For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary #terror,For the last 2 years the U.S. has been averaging about 4 terrorist attacks a month. Good debate topic. #Trump #Hillary
-0.017,0.017,1,0.45,fear,20604,20618,singleton,1,terror,0.475,0.458,train,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding .
-0.017,0.017,1,0.60,fear,20243,20263,singleton,1,terrorism,0.663,0.646,train,"@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create  #BlackLivesmatter #terrorism","@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter"
-0.083,0.083,1,0.75,fear,20044,20121,singleton,1,terrorism,0.854,0.771,train,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria  #race #riots #GasCrisis2016 #NoDAPL #rape
-0.263,0.263,1,0.45,fear,20137,20586,singleton,1,terrorism,0.742,0.479,train,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of #terrorism,#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of
-0.348,0.348,1,0.30,fear,20249,20925,singleton,1,terrorism,0.66,0.312,train,Look at this #massiah of #youngleader\n#Pakistan #massiah of #terrorism,Look at this #massiah of #youngleader\n#Pakistan #massiah of
-0.268,0.268,1,0.40,fear,20213,20707,singleton,1,terrorism,0.685,0.417,train,Nawaz Sharif's UN should start #सत्य_बोध_यात्रा as after all his #UNGA speech has awaken the world about their role in sponsoring #terrorism,Nawaz Sharif's UN should start #सत्य_बोध_यात्रा as after all his #UNGA speech has awaken the world about their role in sponsoring
-0.084,0.084,1,0.55,fear,20258,20421,singleton,1,terrorism,0.646,0.562,train,Now #India is #afraid of #bad #terrorism.,Now #India is #afraid of #bad .
-0.063,0.063,1,0.05,fear,21110,21144,singleton,1,tremendous,0.146,0.083,train,@FraserKeegan just had a steak pie supper #tremendous,@FraserKeegan just had a steak pie supper
-0.562,0.562,1,0.25,fear,20046,20954,singleton,1,worry,0.854,0.292,train,@corruptmelon now im feeling the #worry,@corruptmelon now im feeling the
-0.247,0.247,1,0.30,fear,20418,20918,singleton,1,worry,0.562,0.315,train,@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions #worry,@LmRyle @tomcolicchio @realDonaldTrump @HillaryClinton @ajjaffe I understand your concerns but look at her foundation contributions
0.167,-0.167,1,0.40,fear,21032,20718,singleton,1,worry,0.25,0.417,train,You have a #problem? Yes! Can you do #something about it? No! Than why #worry,You have a #problem? Yes! Can you do #something about it? No! Than why
,,1,0.50,joy,,30377,singleton,0,,,0.5,train,,- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -
,,1,0.50,joy,,30324,singleton,0,,,0.542,train,,"— to reveal a broad smile. \n\n'Yeah, it's nice.' \n\nPursing his lips, he stifled his joyous expression in order —\n\n[@AVIATAUBE]."
,,1,0.55,joy,,30252,singleton,0,,,0.6,train,,".@Harry_Styles I hope you never go a day without something to make you smile. You deserve all good things. Please follow me?\n❤️💛💚💙💜\n311,553"
,,1,0.20,joy,,30744,singleton,0,,,0.22,train,,.@POTUS Obama describes his temperament as 'steady &amp; on the buoyant side.'
,,1,0.65,joy,,30162,singleton,0,,,0.68,train,,.@Travelanswerman: When U ride on a pile of salt life is extra sweet! Always salty always savory! #surfing #aloha #smiling …
,,1,0.65,joy,,30145,singleton,0,,,0.7,train,,"“Be #positive, #cheerful, #grateful and expectant.” @NightingaleEarl  #Success #Leadership"
,,1,0.40,joy,,30501,singleton,0,,,0.433,train,,"“Don’t burn out; keep yourselves fueled and aflame. Be alert servants of the Master, cheerfully expectant.' Romans 12:11-12"
,,1,0.35,joy,,30562,singleton,0,,,0.383,train,,“Set a goal to achieve something that's so big so exhilarating that excites you &amp; scares you at the same time.” \n― #BobProctor
,,1,0.35,joy,,30546,singleton,0,,,0.396,train,,“The essential Saltes of Animals may be\nArkham’s large outfit from any effects he\nI rejoice that you continue in ye
,,1,0.45,joy,,30456,singleton,0,,,0.46,train,,"“When we give cheerfully and accept gratefully, everyone is blessed.”―Maya Angelou"
,,1,0.15,joy,,30771,singleton,0,,,0.18,train,,@__Dayo yall dont feel bad.. you are rejoicing... it is what itnis... its always #ColtsNation even when we have 6th string DBs playing 😔😔
,,1,0.50,joy,,30376,singleton,0,,,0.509,train,,@__PeterPanda yes bro it's actually breezy
,,1,0.30,joy,,30610,singleton,0,,,0.346,train,,"@_haye_ optimism is he'll lose, that's actually a compromise :P"
,,1,0.25,joy,,30672,singleton,0,,,0.292,train,,@_j_sa_ switch out Steve Carrell and put in Kurt from glee then it's accurate
,,1,0.30,joy,,30661,singleton,0,,,0.312,train,,@_Kdddd drop some off at 1133 cheery
,,1,0.55,joy,,30253,singleton,0,,,0.6,train,,@_stfukohle it's ok champ you'll make it I'm cheering you on from a far
,,1,0.55,joy,,30320,singleton,0,,,0.558,train,,"@5ftanomaly aside from that i'm all about pleasing the individual that i'm involved with, my pleasure comes from their pleasure."
,,1,0.40,joy,,30520,singleton,0,,,0.417,train,,@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.
,,1,0.30,joy,,30646,singleton,0,,,0.32,train,,"@AdamCimmering Boro are at the OS before then, they could give the stewards a good work out. Chelsea will get about 8k, will be lively."
,,1,0.60,joy,,30230,singleton,0,,,0.62,train,,@adamrodricks I like your optimism!
,,1,0.85,joy,,30031,singleton,0,,,0.854,train,,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again)
,,1,0.10,joy,,30803,singleton,0,,,0.104,train,,"@AdsByFlaherty And you're cheerfully defending a group of unchecked, armed thugs who've shown a history of racism, violence, and lies."
,,1,0.75,joy,,30086,singleton,0,,,0.771,train,,@ahtareen1 @ReginalAleman @krelifa @zamansj64 @AwiexaB Very pleasing ty!
,,1,0.50,joy,,30394,singleton,0,,,0.5,train,,@AimiSyafiqahR go check up with your bf. He'll give u strength with just one smile. #TOPno1
,,1,0.55,joy,,30280,singleton,0,,,0.577,train,,"@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal"
,,1,0.60,joy,,30214,singleton,0,,,0.625,train,,@AlbertBreer @jetswhispers Be sure and switch it over to cable news - cheery
,,1,0.35,joy,,30580,singleton,0,,,0.375,train,,@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.
,,1,0.15,joy,,30763,singleton,0,,,0.189,train,,"@alphavenger all chuck seasons, she had that one bright spot with dan, where she was allowed to be smart and kind //and// fashionable"
,,1,0.80,joy,,30063,singleton,0,,,0.812,train,,"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now."
,,1,0.55,joy,,30281,singleton,0,,,0.577,train,,"@alyankovic I really wish I could attend the show at RCMH. I'm there in spirit, cheering you and the dudes on! :)"
,,1,0.45,joy,,30455,singleton,0,,,0.46,train,,"@AphoticSanguine —but be a little playful. \n\nHe hesitantly pulls away, just enough so he could get words out, lips brushing against—"
,,1,0.25,joy,,30717,singleton,0,,,0.25,train,,@APkrawczynski   Any possibly KG is being bought out as a player so that he can buy in from Glen as a minority owner?
,,1,0.45,joy,,30438,singleton,0,,,0.479,train,,@AQpk which was worse than expected and hilarious too. no one will even remember.
,,1,0.50,joy,,30379,singleton,0,,,0.5,train,,@ardit_haliti I'm so gutted. I loved her cheery disposition.
,,1,0.70,joy,,30124,singleton,0,,,0.729,train,,@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx
,,1,0.45,joy,,30416,singleton,0,,,0.48,train,,@ashleynwinters I don't like the statement but I love the optimism
,,1,0.50,joy,,30358,singleton,0,,,0.521,train,,@BattleSmitten \n\nother begin telling a 'story' he realized that she was making an attempt at cheering him up. It was sweet of her and so ➤
,,1,0.15,joy,,30764,singleton,0,,,0.188,train,,@BbeautifulSoul_ u always gotta attitude tho ... 😕 cheer up
,,1,0.20,joy,,30750,singleton,0,,,0.208,train,,@bear_ing you asshole... you made me sexually attacked to a animated bear :-P
,,1,0.60,joy,,30216,singleton,0,,,0.625,train,,@beingbrilliant @johnmurrays you're welcome. It's genuinely made me give my head a wobble and realise what's important in life.  #smiling
,,1,0.50,joy,,30369,singleton,0,,,0.52,train,,@BertGatti not had much to cheer about you see 😜😂😂
,,1,0.50,joy,,30388,singleton,0,,,0.5,train,,@biggerthanyuu He's flushed upon hearing the feeling is reciprocated. He's elated to shove himself right into his arms and hug him tightly.+
,,1,0.50,joy,,30392,singleton,0,,,0.5,train,,"@bijayjanand\nIt's not just a treat for viewers to watch u as janak, it's simply a treat for our soul, mind, thoughts. #hearty respect 🙏🙏"
,,1,0.30,joy,,30616,singleton,0,,,0.34,train,,@Blancalanka96 thought it'd be fun and it is not fun but on the bright side I don't have to fight for parking
,,1,0.65,joy,,30177,singleton,0,,,0.66,train,,"@BlueJayHunter I'm fine on the near future, I just want to go to bed super elated and put together audio compilations of great moments."
,,1,0.50,joy,,30365,singleton,0,,,0.52,train,,@bodwell_james did it not just enliven your soul
,,1,0.35,joy,,30581,singleton,0,,,0.375,train,,@Bookselenaxxx @Hustler @Bookselenaxxx @Hustler \n👅💦👅💦👅💦👅💦👅💦👅that hot pussy unappetizing that delight
,,1,0.30,joy,,30612,singleton,0,,,0.345,train,,@BrightPigSEO @BrightPigSEO we provide dignified and professional funerals at prices families can afford #satisfied clients #bright pig
,,1,0.40,joy,,30477,singleton,0,,,0.44,train,,"@chenaidavid easy, breezy, beautiful rasta mon"
,,1,0.45,joy,,30414,singleton,0,,,0.48,train,,"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that."
,,1,0.80,joy,,30067,singleton,0,,,0.808,train,,"@ChrisBooker @ThePerezHilton On PHP54  and though the Kardashian stuff goes over my head, you're both hilarious, like gleeful little boys 😂😂"
,,1,0.60,joy,,30211,singleton,0,,,0.64,train,,@chrisrock brings back great memories of hilarity on #SATURDAYNIGHTLIVE
,,1,0.50,joy,,30383,singleton,0,,,0.5,train,,"@ClaireBlair27 See, that's how you and Michelle are so cheery!"
,,1,0.70,joy,,30120,singleton,0,,,0.729,train,,@clonmacart I'm beaming with glee.
,,1,0.15,joy,,30767,singleton,0,,,0.188,train,,@ClvlndK8 It's so sad! There's always such optimism with a new year. This is...not good. @BuckshotBandit1 @dapostrophearcy
